Variable:,pr
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
1965,593.23,672.63,694.77,597.60,519.05,716.44,714.34,521.63,430.41,614.80,504.87,513.33,469.13,732.28,675.28,424.60,628.98,589.05,511.71,464.93,515.22,673.20,635.36,730.35,450.47,493.83,798.00,614.99,615.07,566.10,488.76,591.39,711.87,730.86,624.87,668.66,485.70,662.75,395.44,489.38,620.04,516.90
1966,766.33,840.78,750.77,866.46,672.32,775.94,820.73,576.09,637.72,839.85,787.90,743.43,713.81,922.15,793.93,650.20,839.48,862.61,767.84,634.97,809.80,931.12,799.91,912.68,684.04,576.31,881.13,844.49,764.82,675.41,763.31,867.31,794.48,779.39,832.33,740.57,783.08,716.77,576.82,632.24,874.35,706.95
1967,585.71,669.95,603.51,638.65,531.96,622.15,697.13,464.46,455.03,670.56,525.27,557.56,496.85,717.17,649.02,430.16,667.77,618.46,517.78,454.50,518.92,670.10,656.32,716.75,485.60,454.27,747.33,607.06,628.63,562.11,508.31,639.50,655.62,630.97,658.93,640.41,499.34,599.90,390.34,467.15,639.79,539.85
1968,623.51,730.63,635.91,670.87,582.16,659.87,748.64,554.15,436.66,683.80,549.00,556.72,473.92,794.66,698.74,419.48,694.93,637.76,566.94,484.06,548.30,753.57,699.49,786.07,464.15,523.60,788.49,673.40,675.41,614.15,541.41,646.10,689.81,665.44,712.24,699.19,540.80,620.86,391.03,526.08,690.33,572.36
1969,736.68,788.95,747.71,850.10,706.59,706.36,754.64,603.03,600.18,864.70,701.65,746.75,633.68,940.49,708.03,551.37,888.60,833.88,677.98,609.53,706.78,874.71,837.68,909.97,614.70,602.51,772.12,790.36,734.07,733.52,687.07,849.02,680.63,634.07,816.91,787.64,684.67,758.11,509.65,632.14,833.03,728.87
1970,795.00,938.18,809.59,890.90,742.21,874.38,946.50,668.44,525.18,920.66,714.75,710.72,607.02,980.31,897.72,492.43,909.99,859.68,697.30,565.31,725.39,951.36,926.35,1009.03,575.87,659.24,1006.44,841.64,872.65,811.38,712.52,858.12,893.44,876.83,917.67,921.05,699.86,780.11,441.30,622.08,889.81,703.79
1971,655.95,644.74,528.36,782.95,685.46,538.12,672.45,621.20,571.60,786.63,723.48,730.77,646.39,720.78,582.87,530.51,832.98,785.96,630.77,568.33,724.06,745.34,750.88,701.64,624.01,600.43,684.64,673.10,645.72,699.11,651.87,829.78,558.57,540.48,705.96,736.40,691.88,526.48,470.97,601.01,753.19,700.50
1972,704.84,725.95,630.92,813.07,749.01,606.95,741.88,634.39,611.52,870.29,668.15,745.78,618.82,819.59,674.10,537.46,903.28,799.78,621.41,644.68,660.38,790.05,850.18,789.30,617.51,643.32,743.48,714.00,737.33,765.18,644.73,825.49,628.64,585.69,774.93,801.86,644.99,646.38,501.89,664.34,776.78,752.80
1973,557.23,631.12,525.79,666.35,491.36,536.92,624.22,428.30,423.42,641.22,568.49,531.25,502.57,667.48,588.21,434.38,626.23,650.45,571.49,402.54,592.91,682.54,605.36,675.23,478.07,409.10,642.05,621.26,584.41,512.57,570.73,643.37,558.59,528.71,638.94,573.61,577.80,526.02,366.67,413.77,655.64,499.39
1974,706.56,842.03,812.41,698.70,675.98,829.84,870.94,665.37,488.70,775.73,554.66,630.70,512.34,902.67,828.65,433.71,797.00,664.73,576.81,547.39,538.44,786.66,800.45,908.24,507.95,609.76,940.82,724.32,768.63,722.17,552.79,695.92,831.08,823.19,778.72,831.31,535.36,785.58,404.87,596.86,720.07,656.95
