Variable:,pr
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1971,740.11,723.03,651.55,821.41,771.79,684.53,1104.17,771.15,914.53,847.35,669.45,649.73,1017.51,576.88,657.56,549.80,669.02,703.83,672.25,1331.48,667.18
1972,939.06,956.49,805.49,1003.67,861.11,975.96,1415.33,943.31,1240.65,1137.57,901.54,806.69,1288.20,732.41,885.10,570.75,802.74,846.99,900.60,1626.01,952.18
1973,783.20,737.49,696.58,924.73,760.50,803.90,1223.71,741.54,863.23,950.98,766.62,658.31,969.52,610.79,588.80,597.48,690.52,865.44,744.84,1459.00,742.07
1974,772.57,797.60,745.65,918.46,828.90,710.74,1314.41,821.66,861.94,923.05,762.63,695.08,958.82,630.17,679.99,357.16,638.35,888.18,753.75,1370.75,762.58
1975,880.72,783.04,612.57,845.32,674.27,945.87,1480.89,868.43,1148.53,1207.03,836.55,616.25,1210.13,521.96,722.01,587.12,832.90,953.28,886.13,1561.34,916.95
1976,1031.29,1091.05,930.01,1225.17,1003.08,1011.58,1386.51,1109.71,1156.37,1182.30,1099.60,886.32,1179.93,764.24,934.44,851.87,943.71,942.32,1120.85,1463.21,943.17
1977,821.03,698.47,391.21,557.83,480.36,931.73,1400.21,730.43,1208.59,1289.14,790.63,487.53,1392.92,370.67,659.96,333.94,772.99,1044.05,772.56,1947.94,934.47
1978,919.74,924.60,735.68,920.55,862.42,992.54,1536.69,971.90,1037.18,1128.60,951.17,745.87,1090.01,629.40,826.80,532.64,871.50,957.85,947.78,1541.04,994.52
1979,1003.86,980.90,860.14,1024.84,1001.19,1016.48,1586.28,1073.74,1203.33,1286.77,928.45,830.91,1232.25,732.30,766.19,645.02,957.99,1192.36,974.55,1624.72,952.71
1980,880.42,981.18,854.25,986.04,1026.48,924.11,1360.76,1036.04,893.48,1002.61,952.30,859.98,951.82,716.92,690.13,473.23,872.47,858.46,977.47,1384.50,837.46
1981,783.22,705.96,620.07,757.47,708.93,844.66,1409.98,759.80,848.80,1074.67,826.23,567.71,1025.01,529.15,487.71,306.10,749.18,1103.59,799.30,1563.72,909.23
1982,837.99,804.73,664.87,932.72,733.01,834.68,1377.60,887.35,840.46,1034.92,868.32,606.75,948.33,551.11,652.69,687.48,793.83,928.51,923.94,1428.26,898.14
1983,715.64,710.55,615.64,817.25,655.24,643.14,1105.67,758.62,747.15,872.47,692.28,586.23,909.74,539.29,558.41,506.31,659.43,863.35,760.57,1331.07,666.34
1984,969.57,1061.41,807.79,961.23,939.78,1034.65,1437.64,1144.96,1131.61,1152.90,1054.79,858.30,1149.25,660.70,836.58,535.68,1006.55,914.27,1106.92,1449.30,994.38
1985,755.37,721.75,595.62,853.06,738.13,732.65,1277.69,793.95,796.50,966.62,657.88,637.79,880.41,502.86,685.82,541.96,669.53,874.22,715.08,1272.12,745.37
1986,843.76,886.68,628.22,861.70,727.55,848.61,1234.14,929.18,892.43,1029.31,884.71,678.69,990.85,538.21,784.62,646.17,809.99,888.41,944.83,1467.80,825.68
1987,873.10,918.01,609.66,842.87,741.47,942.39,1516.28,993.36,1052.47,1144.49,947.90,734.52,1105.97,555.79,580.83,401.05,884.49,1059.24,975.38,1522.96,934.27
