Variable:,pr
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1998,509.53,393.85,503.01,818.86,562.85,178.43,844.53,504.50,407.63,589.67,484.00,385.17,416.40,1105.47,414.66,203.50,270.03,672.74,831.21,525.44
1999,603.06,453.40,598.89,1073.21,409.43,304.04,1068.78,615.46,417.37,733.76,513.10,391.13,477.24,1443.82,451.45,305.50,304.55,841.04,1040.77,649.79
2000,663.27,548.07,604.15,1177.92,433.23,225.54,1141.90,687.21,447.00,688.54,677.20,424.19,576.41,1661.85,500.56,285.00,325.99,857.05,1089.63,681.56
2001,614.29,569.57,506.97,1025.95,540.92,293.27,949.88,595.03,464.71,573.27,601.50,446.34,573.26,1471.11,478.13,311.00,362.07,702.66,886.12,560.02
2002,715.40,582.24,722.26,1113.47,698.15,406.75,1079.40,706.58,529.70,893.29,719.80,559.13,570.90,1577.09,556.77,263.40,369.92,888.81,1061.34,713.84
2003,730.99,633.16,742.71,1124.43,701.76,265.97,1117.90,733.47,537.45,838.49,851.90,562.30,606.84,1544.79,600.81,442.20,371.86,908.64,1076.06,716.21
2004,599.73,494.22,638.98,827.61,578.32,298.00,968.66,558.01,531.01,752.01,515.20,514.56,495.23,988.74,525.70,341.60,402.54,813.48,993.07,650.97
2005,468.28,343.56,486.00,795.92,485.34,389.50,886.03,476.24,309.79,621.35,477.10,375.46,337.21,1025.57,352.76,236.90,240.48,669.27,850.82,532.90
2006,649.59,585.13,543.48,1084.02,538.80,423.82,962.41,659.26,503.16,575.63,661.60,457.05,603.75,1534.54,546.04,332.10,384.92,704.29,868.70,577.66
2007,588.88,471.68,604.09,846.29,656.14,391.18,926.73,585.87,494.19,628.56,521.40,578.75,464.87,1050.83,507.98,346.30,438.98,796.29,961.39,642.47
2008,689.68,585.99,724.32,1041.91,616.22,228.43,1161.96,669.49,556.03,771.20,769.70,550.23,537.17,1314.61,572.17,380.10,423.10,975.01,1186.90,785.87
2009,619.67,624.86,549.18,971.45,624.45,196.88,999.96,561.94,462.34,604.63,860.00,514.39,522.99,1379.70,416.44,307.60,426.39,772.46,969.67,610.41
2010,829.65,1021.63,622.91,1149.70,668.93,382.80,1046.32,736.18,684.15,723.91,1366.20,566.66,863.43,1611.33,641.26,479.00,547.53,792.96,987.40,655.55
2011,545.81,497.46,524.85,796.51,629.86,242.31,814.17,503.25,415.26,714.58,720.20,432.96,489.08,1080.15,421.71,343.60,328.40,645.54,786.17,525.94
2012,535.49,499.99,522.78,803.09,494.40,214.33,861.94,499.03,417.63,581.14,594.40,450.23,435.33,1061.01,409.19,317.90,373.99,715.44,876.81,559.32
2013,699.14,532.37,709.12,1169.54,604.04,268.69,1275.13,701.84,503.77,802.70,629.30,459.44,577.59,1596.49,511.57,341.80,363.51,1021.76,1271.12,827.30
2014,650.58,511.69,643.20,1078.45,539.01,390.41,1078.30,655.13,450.07,826.98,590.80,398.95,565.14,1510.53,510.36,240.70,283.22,851.31,1036.24,676.06
2015,498.11,380.28,553.09,817.34,596.67,209.29,912.76,484.93,357.04,615.23,457.20,431.80,343.11,1016.78,345.43,291.50,331.26,757.82,928.00,599.51
2016,658.80,545.70,586.43,1091.09,567.11,284.34,1032.88,684.50,496.46,644.75,707.00,449.73,598.30,1549.71,570.24,295.70,310.39,812.69,997.18,657.56
2017,479.59,398.70,532.42,755.37,562.47,131.87,862.84,449.15,344.33,621.10,473.40,379.60,350.22,963.84,321.64,251.70,287.24,711.98,873.37,555.42
2018,794.36,655.37,808.15,1158.68,712.78,358.60,1194.39,768.38,630.86,1009.55,835.00,663.54,652.65,1546.47,665.59,408.50,492.84,1036.22,1227.04,830.56
2019,580.81,377.99,614.69,1073.04,565.45,208.08,1155.13,593.06,406.81,737.61,439.00,460.13,352.68,1420.46,401.68,257.80,343.17,872.56,1103.25,696.56
2020,628.35,460.15,679.93,994.18,590.55,172.65,1029.37,620.86,491.40,780.36,522.80,527.75,484.86,1309.92,501.01,229.80,373.29,872.03,1046.77,674.83
2021,632.75,425.91,663.54,1028.10,574.68,203.08,1059.70,648.16,511.98,727.92,527.90,539.36,474.78,1405.20,537.20,224.70,387.92,844.86,1047.05,678.04
