Variable:,pr
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1960,685.88,695.33,670.99,660.36,667.48,696.28,705.40,689.11,689.92,704.14,663.47,695.74,716.27,740.91,653.17,680.88,705.08,678.58,687.37,674.00,659.58,729.16,641.41,670.92,693.31,659.65,669.55
1961,615.98,598.57,591.03,564.52,590.07,658.60,555.26,644.85,595.40,591.17,616.62,548.85,687.42,700.82,638.11,556.82,594.35,598.92,562.95,552.19,613.02,687.26,648.46,647.08,629.54,634.35,671.69
1962,720.92,719.63,744.83,726.59,677.41,755.78,756.70,679.83,753.71,727.65,673.77,748.71,712.57,717.41,721.44,725.60,746.61,709.74,722.31,724.08,696.66,711.04,680.52,684.25,749.82,727.46,705.06
1963,543.80,523.49,489.37,481.38,508.20,540.87,549.36,584.74,503.63,527.28,532.20,521.94,640.68,687.61,521.68,496.26,515.59,517.36,517.41,498.41,519.89,645.35,560.57,574.20,518.00,518.45,596.91
1964,512.20,517.27,465.06,449.31,495.22,532.27,504.25,527.03,483.34,513.84,502.73,495.38,567.94,581.63,519.00,469.18,498.46,515.73,500.29,469.53,508.24,565.92,513.77,521.22,512.37,518.87,536.74
1965,577.22,579.81,530.05,516.30,558.15,566.01,601.95,599.33,546.47,582.62,568.28,578.98,641.58,659.49,543.15,534.85,564.81,580.44,580.03,549.36,561.77,640.70,587.25,593.97,554.62,540.87,618.71
1966,693.79,706.77,695.73,680.79,669.63,741.82,693.47,687.33,702.72,717.99,668.51,680.23,696.46,721.77,704.65,674.87,717.26,687.65,686.41,678.38,681.27,715.43,626.57,669.58,723.96,712.26,649.36
1967,654.96,649.41,627.22,616.20,622.26,666.18,663.06,665.74,631.04,657.00,629.92,649.39,709.19,743.61,644.74,628.04,651.95,635.21,638.60,623.71,630.09,712.93,644.87,659.14,650.48,647.78,684.08
1968,572.05,591.48,589.34,591.26,553.14,576.29,633.62,548.79,598.69,616.63,533.67,619.14,547.67,566.08,534.10,599.76,614.23,566.67,613.77,603.06,540.60,565.33,488.63,525.75,573.67,540.91,511.79
1969,536.32,542.34,543.21,538.83,511.84,546.01,573.62,528.23,552.20,563.64,508.91,560.40,530.99,551.11,517.80,542.09,563.78,519.21,555.18,548.56,507.83,545.56,478.36,511.20,547.36,525.43,502.93
1970,657.41,657.11,618.93,608.86,616.87,687.79,652.70,661.83,646.25,672.28,625.15,632.68,718.22,744.86,651.14,622.49,677.92,632.44,647.41,625.29,629.86,715.87,643.56,649.66,655.80,651.05,676.52
1971,547.11,533.31,529.27,511.36,514.45,596.30,532.77,537.76,548.20,534.76,523.84,524.19,573.24,571.40,573.13,518.19,555.66,531.51,528.23,515.71,540.57,567.15,549.11,546.34,576.93,577.01,576.08
1972,645.47,659.23,568.31,546.29,649.19,689.71,615.60,703.33,596.85,647.35,672.68,564.55,723.36,741.38,668.29,544.87,631.65,652.21,597.24,562.18,658.86,739.56,651.86,687.15,643.72,660.75,667.85
1973,606.33,586.51,590.31,575.06,564.94,637.88,585.01,612.72,600.99,589.80,580.97,572.01,667.12,691.69,616.16,565.62,605.31,579.08,572.36,571.97,587.03,662.99,605.70,606.81,629.84,618.73,637.43
1974,689.03,715.75,579.69,562.10,711.26,701.92,661.20,760.47,603.41,695.38,721.18,608.55,804.92,839.44,681.47,575.62,658.09,721.70,652.93,587.52,704.74,812.43,713.64,738.58,638.49,666.44,763.67
1975,519.52,530.17,519.06,511.54,499.74,565.05,514.54,499.62,531.03,536.49,492.77,495.92,521.31,522.18,535.01,506.62,539.98,513.99,503.87,496.95,507.19,521.57,495.74,504.73,544.27,542.80,516.71
1976,512.29,515.08,507.58,501.66,478.42,542.44,520.34,482.61,529.99,523.99,467.37,522.53,523.80,540.40,500.59,525.20,536.14,510.79,516.21,511.82,491.64,518.66,480.99,480.64,522.62,504.42,512.66
