Variable:,pr
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
1978,689.14,721.42,628.98,551.76,747.32,671.36,656.91,726.19,730.84,731.49,702.18,753.30,732.95,641.00,709.88,655.98,662.15,617.75,602.37,723.91,814.42,772.29,735.61,704.69,705.27,567.28,696.20,677.16,687.69
1979,772.55,797.78,714.07,601.97,823.47,786.37,727.28,857.01,807.44,795.69,763.18,825.58,823.97,728.07,797.31,743.18,751.30,724.43,663.30,813.31,931.03,852.69,824.42,790.22,792.24,665.41,784.21,704.88,766.60
1980,717.56,745.55,658.25,597.50,759.99,681.46,660.56,756.60,750.35,752.69,745.01,785.58,763.34,693.44,742.73,698.91,683.73,671.88,649.31,707.49,867.64,798.91,768.14,694.45,712.22,615.12,694.91,766.69,732.44
1981,657.96,669.19,633.64,575.83,670.96,642.17,614.11,678.03,701.43,662.16,690.35,680.05,730.29,616.39,645.96,658.89,635.32,638.59,617.50,644.76,744.80,730.49,716.82,624.52,658.10,605.06,625.79,728.30,664.10
1982,577.24,651.63,527.25,433.10,614.30,541.72,536.43,581.88,648.28,618.28,617.62,645.67,646.67,546.88,579.27,529.29,526.76,509.51,475.00,587.02,673.12,673.95,644.58,566.23,558.17,469.47,554.72,598.71,605.51
1983,585.30,703.00,494.30,369.54,613.21,585.85,518.79,655.10,708.97,614.35,615.14,684.98,707.13,541.64,650.36,469.34,484.64,467.42,424.05,585.02,768.20,710.59,693.95,595.21,533.74,416.78,541.50,568.20,605.04
1984,597.50,569.86,548.76,547.42,643.93,574.13,554.10,613.60,582.76,609.51,587.40,621.20,613.60,578.68,596.59,638.92,631.37,610.02,598.33,613.45,702.13,632.37,612.58,588.06,654.23,562.87,621.70,569.59,589.67
1985,464.42,487.71,458.78,425.37,475.58,440.19,447.55,449.56,500.95,460.50,476.15,490.76,517.65,416.23,456.83,451.79,433.97,448.35,445.53,472.77,518.65,516.72,509.10,454.63,454.88,427.08,435.65,506.32,455.35
1986,529.73,593.34,491.58,438.99,551.03,494.64,498.69,519.46,605.00,547.36,548.71,570.03,611.90,504.94,526.26,491.61,481.48,481.69,452.04,528.67,623.11,617.01,602.98,510.33,510.93,447.99,505.10,534.57,553.73
1987,655.61,729.79,590.35,523.01,693.94,620.39,604.26,646.15,722.61,692.57,642.76,735.73,720.64,621.01,680.44,626.45,611.09,609.57,568.60,663.01,803.48,746.03,720.04,649.01,651.41,564.23,633.28,638.00,665.03
1988,593.35,597.40,574.12,539.53,627.63,566.04,552.98,593.15,591.29,614.71,580.11,625.76,600.77,572.83,590.80,616.29,608.94,594.61,578.76,599.68,675.97,629.55,603.19,587.44,620.96,557.19,603.30,558.49,596.76
1989,543.31,569.56,505.11,440.01,576.21,518.84,524.26,524.85,593.75,545.57,557.09,589.65,605.20,488.70,567.74,528.20,511.32,517.54,477.76,561.47,651.33,609.11,595.99,550.27,556.73,469.43,527.86,564.94,531.46
1990,496.61,523.00,503.44,376.40,505.17,531.41,507.68,568.02,513.66,503.58,497.51,533.52,521.94,450.14,511.85,438.60,424.28,461.72,400.29,533.16,602.23,542.08,521.67,499.01,495.55,428.32,462.88,482.94,489.04
1991,659.11,676.11,616.97,513.67,707.50,599.47,607.96,629.85,705.14,707.90,730.86,688.21,723.23,659.98,657.35,633.24,653.28,597.31,580.63,661.95,737.36,751.49,735.37,647.54,675.10,549.21,661.46,710.09,722.16
1992,522.96,591.52,498.57,421.06,543.04,498.56,492.46,525.76,589.02,534.85,522.50,589.87,586.88,468.22,547.08,482.12,467.10,482.97,446.11,520.41,632.40,600.62,582.90,508.89,507.15,453.43,492.48,514.06,510.91
1993,499.08,454.75,513.01,475.44,544.23,477.54,504.10,487.03,446.22,518.18,467.23,497.30,455.10,481.09,498.07,542.96,516.55,534.14,515.60,540.53,544.62,505.17,474.25,508.84,546.57,503.90,515.51,464.71,480.61
1994,588.92,652.27,567.56,434.63,630.59,604.15,572.51,643.34,625.08,617.66,571.37,664.27,619.81,543.23,627.48,518.04,524.47,517.30,463.49,601.87,735.81,668.86,647.70,597.50,574.82,483.61,568.92,542.36,576.28
1995,773.37,782.59,746.09,627.60,827.88,756.73,751.87,788.32,781.05,811.82,783.67,827.00,801.25,736.33,790.58,734.97,746.23,726.86,668.10,822.74,897.59,855.76,820.53,778.58,800.17,675.53,780.33,763.20,770.78
1996,629.84,626.24,614.36,526.55,656.11,639.19,618.27,679.42,636.43,632.94,663.85,657.77,660.42,569.68,640.52,608.82,599.29,595.67,548.69,659.30,739.46,679.30,641.14,627.95,640.88,564.99,616.34,675.38,624.02
1997,702.38,615.26,756.24,677.19,749.04,719.94,737.39,728.39,588.94,708.52,659.65,693.51,608.80,652.89,700.54,750.82,715.72,752.74,711.05,767.25,794.12,701.30,657.59,715.26,772.87,711.02,712.61,647.39,655.11
1998,737.18,716.77,735.50,596.40,800.06,771.86,741.78,810.11,706.40,779.49,700.88,785.43,705.29,700.81,775.82,700.93,702.26,694.62,635.43,790.86,871.96,786.71,738.08,770.00,753.32,651.30,737.92,679.33,720.75
1999,686.12,692.52,632.19,573.59,726.12,626.79,629.53,670.64,699.68,719.13,746.53,725.15,734.34,665.44,683.61,694.42,684.99,658.03,634.23,704.93,779.25,764.77,736.05,668.93,711.52,605.68,687.30,730.18,736.97
2000,433.63,416.76,464.68,376.36,463.13,457.04,448.10,448.29,426.00,438.53,411.70,443.26,429.88,399.27,437.10,424.69,417.10,421.19,394.02,464.34,501.21,445.06,422.19,439.34,450.39,404.64,435.56,413.00,406.79
2001,552.33,527.21,537.97,441.90,579.13,550.68,537.36,593.68,523.45,562.65,632.45,562.45,562.90,534.49,547.62,535.08,537.06,508.47,494.98,573.13,652.96,591.99,565.29,543.51,552.43,470.51,542.29,658.72,593.35
2002,703.82,802.43,652.85,537.56,746.36,688.19,659.29,798.58,788.69,729.94,652.89,807.14,757.29,639.07,753.90,623.42,632.95,630.92,566.94,717.36,926.79,793.33,761.55,708.28,696.33,589.78,684.42,629.64,668.76
2003,615.62,683.42,550.52,431.96,666.69,617.43,574.77,678.04,677.22,658.55,643.27,697.34,661.40,588.16,662.00,536.65,547.29,519.94,475.99,625.75,767.70,702.20,661.92,631.53,588.48,472.05,600.24,620.36,638.68
2004,630.66,602.41,590.33,569.81,675.52,563.15,585.02,586.06,628.48,656.70,696.62,620.14,661.66,624.81,607.57,674.80,660.05,640.41,635.48,657.93,667.53,676.39,649.97,615.42,682.48,582.00,649.19,703.80,667.04
2005,808.69,800.91,754.72,654.81,890.56,768.82,765.74,803.56,810.31,874.17,814.04,865.69,832.90,799.16,833.88,794.47,804.05,759.67,719.96,855.20,922.79,900.35,857.04,821.17,836.89,698.19,829.16,809.88,822.19
2006,679.76,734.08,606.07,515.92,738.31,646.39,624.12,698.67,746.17,726.80,699.38,756.65,750.42,651.39,714.34,630.71,639.28,611.89,570.21,692.39,817.64,779.48,752.27,684.55,677.52,554.04,674.46,678.99,691.28
2007,694.18,756.52,604.23,496.31,736.44,650.44,626.16,696.64,788.09,743.36,771.78,769.19,800.66,683.77,718.63,639.29,656.60,594.61,558.18,690.21,812.53,817.65,794.77,684.57,681.78,535.31,682.85,758.00,746.99
2008,510.90,533.94,462.12,397.25,544.65,467.47,462.65,497.99,559.13,539.80,576.44,539.04,576.30,504.83,512.92,487.33,491.76,465.20,448.56,507.98,582.78,580.07,565.03,498.03,509.21,425.30,504.69,590.75,552.33
2009,751.01,784.08,722.43,589.68,807.18,761.81,727.73,812.58,786.50,785.44,741.07,810.72,788.24,703.13,780.75,697.67,699.18,691.13,628.12,792.87,900.65,826.64,790.21,764.31,756.95,640.49,744.37,713.35,738.73
2010,787.21,779.76,770.08,648.44,833.75,809.24,787.61,839.12,774.82,809.95,805.84,818.10,787.95,744.78,800.65,765.56,757.50,742.12,697.94,834.27,919.01,836.55,793.75,795.48,809.30,688.69,782.30,822.32,784.32
2011,532.72,526.86,541.15,441.19,590.24,569.92,545.52,606.24,495.48,543.26,477.90,574.15,501.02,473.13,573.57,493.35,483.81,525.88,457.95,588.49,663.58,550.03,514.20,569.50,557.23,486.62,534.07,463.19,483.84
