Variable:,pr
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1991,647.19,568.38,576.91,623.92,595.54,587.85,746.43,727.79,742.85,566.80,696.90,564.38,676.04,581.37,592.92,560.74
1992,711.60,630.01,561.81,615.76,606.71,671.49,832.61,832.29,812.61,550.06,748.28,550.96,785.44,578.05,586.07,555.76
1993,740.45,634.09,640.93,671.27,679.28,669.66,887.68,833.91,895.54,651.16,785.47,622.42,768.94,635.14,641.88,623.73
1994,852.22,747.80,676.60,788.18,755.15,778.94,1005.44,979.35,988.83,700.73,895.77,704.61,913.94,734.91,745.05,704.37
1995,652.42,575.24,600.11,617.62,576.31,622.39,744.05,726.70,754.08,561.08,676.87,545.99,696.82,571.47,583.22,557.70
1996,511.85,457.96,485.27,498.10,425.64,513.52,569.63,575.26,551.55,419.40,519.79,425.03,559.67,460.72,473.55,442.19
1997,599.70,533.96,528.42,535.46,533.15,577.82,683.39,671.95,678.79,505.34,627.45,500.71,644.00,506.71,509.23,493.88
1998,848.73,757.96,721.82,789.68,740.30,820.39,962.73,947.44,956.60,707.76,886.43,717.33,903.87,738.42,750.07,722.70
1999,868.42,787.36,663.09,786.12,694.83,877.32,970.26,998.31,915.73,646.96,901.93,692.98,968.36,740.30,751.60,705.64
2000,739.14,653.02,582.19,662.88,597.60,780.15,820.49,831.84,791.32,565.29,753.73,587.18,820.40,623.76,630.57,599.14
2001,732.97,636.47,631.15,654.83,641.87,688.88,860.61,834.58,855.64,612.28,771.30,596.87,785.28,615.35,624.31,604.27
2002,832.13,738.97,662.67,746.53,756.61,766.22,966.01,934.93,963.07,701.41,894.25,702.96,879.61,706.50,712.49,692.70
2003,613.88,553.58,481.34,541.51,519.58,600.47,699.21,701.18,674.77,478.80,647.25,493.90,673.09,520.19,517.08,491.84
2004,754.84,662.75,649.77,705.87,650.48,721.77,872.57,858.73,851.96,623.32,793.68,619.80,811.10,667.68,673.14,630.32
2005,637.90,561.26,515.24,559.17,560.90,603.01,741.14,725.38,738.86,521.53,679.33,518.00,687.51,526.22,533.61,509.44
2006,768.48,686.71,572.14,684.84,631.82,758.66,887.75,887.64,833.36,570.38,805.98,601.91,853.96,653.96,654.68,608.06
2007,852.31,760.43,721.14,788.00,769.66,805.24,970.01,946.99,976.20,733.68,900.91,724.63,901.61,745.68,752.70,721.78
2008,740.89,658.09,612.77,695.02,609.28,733.63,847.25,839.82,814.76,591.30,758.89,606.03,812.42,645.94,653.51,616.74
2009,705.84,630.53,564.78,631.74,596.74,696.78,807.76,798.23,786.18,551.18,731.70,570.96,773.98,600.54,604.80,568.81
2010,734.08,655.48,649.64,746.36,651.05,707.86,820.61,801.25,819.62,643.12,757.95,652.92,769.15,693.47,713.21,664.72
2011,807.50,743.86,586.79,744.77,664.97,806.58,879.29,909.00,856.59,634.81,811.42,681.31,904.71,710.58,711.98,680.49
2012,753.03,686.91,600.52,702.64,603.39,780.62,813.25,852.15,782.55,572.44,751.52,618.14,855.81,664.15,665.19,620.65
2013,683.79,604.22,567.77,617.58,591.40,650.96,780.79,779.47,767.96,564.21,709.70,570.38,746.58,576.68,585.08,564.59
2014,817.00,735.65,668.81,753.67,689.81,806.48,910.39,927.85,871.57,648.80,851.06,675.25,905.96,706.26,714.01,676.61
2015,855.88,761.95,595.73,716.55,718.25,829.57,985.74,998.17,950.01,633.91,900.69,666.01,958.01,685.61,686.63,657.11
2016,676.59,607.14,522.65,591.73,586.35,641.77,782.17,774.47,758.13,532.84,722.06,547.14,736.76,560.61,564.74,541.00
2017,958.44,854.74,751.55,850.92,825.94,900.11,1103.23,1101.44,1080.87,770.26,1011.35,783.01,1049.62,805.42,812.69,778.26
2018,598.14,526.20,455.77,517.66,494.70,576.14,692.50,702.71,652.66,451.57,630.10,470.12,673.28,487.76,491.50,467.23
2019,847.19,761.37,595.89,714.37,701.64,835.20,975.14,983.56,922.96,617.62,889.88,660.77,944.90,686.11,684.98,653.15
2020,727.77,644.03,556.58,630.07,620.86,711.19,840.07,828.63,811.90,566.06,776.22,582.77,794.94,595.25,600.99,576.02
2021,733.99,663.56,635.87,689.60,658.98,663.27,853.41,823.76,844.03,630.65,792.80,629.38,767.83,644.08,654.42,627.46
