Variable:,pr
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
1965,1240.12,1113.69,1164.83,1412.45,1430.50,1635.15,1088.32,1337.63,1501.81,1163.43,828.37,1050.44,1748.24,1077.17,1305.70,1025.49,1083.13,1234.33,1008.46,792.88,1164.61,1382.12
1966,1306.48,1049.45,1450.89,1317.73,1349.93,1629.83,1008.11,1235.14,1866.78,1076.09,769.73,985.97,1755.18,1438.68,1259.16,964.55,1367.22,1138.18,911.90,767.12,1561.49,1292.98
1967,1053.23,880.91,1137.92,1120.12,1017.72,1362.61,808.46,1041.01,1374.11,863.59,671.74,883.04,1328.41,1095.93,1089.27,871.43,1076.92,941.14,768.04,705.11,1146.87,1097.89
1968,1015.60,754.73,1253.47,999.33,1192.92,1335.45,705.00,970.08,1314.53,777.19,638.82,831.84,1445.54,1056.94,965.22,827.79,1095.98,860.13,677.13,705.51,1111.24,977.02
1969,1202.08,952.94,1412.78,1211.31,1205.12,1503.32,882.10,1155.09,1606.37,947.46,783.41,992.01,1555.46,1291.59,1183.70,979.32,1300.48,1027.73,873.93,845.47,1329.49,1184.94
1970,1146.24,952.52,1329.35,1221.52,1150.35,1468.64,875.84,1126.11,1465.84,942.20,760.03,976.40,1488.69,1157.72,1171.02,964.02,1177.09,1018.41,831.42,814.61,1193.24,1195.41
1971,832.88,606.55,1080.01,791.54,1048.47,1012.71,572.85,762.31,1130.64,631.28,493.43,627.48,1265.05,921.19,758.15,619.06,931.37,690.40,549.80,543.24,962.59,774.19
1972,1159.97,1051.58,1097.41,1277.49,1211.57,1470.95,995.28,1306.87,1475.06,1085.32,791.52,1039.19,1536.82,1037.38,1219.39,1013.61,989.19,1178.04,951.47,797.73,1137.14,1253.91
1973,870.43,709.05,1046.32,873.37,925.33,1043.18,697.74,890.97,1071.11,754.57,629.11,787.71,1111.42,883.45,874.85,777.89,895.18,803.26,702.60,627.10,902.70,856.49
1974,1240.06,1007.29,1319.69,1265.66,1238.88,1564.53,952.70,1170.08,1672.74,1004.46,815.27,1025.67,1639.63,1307.57,1207.04,1009.59,1266.44,1073.88,924.18,855.62,1398.51,1238.60
