Variable:,pr
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,"Administrative unit not available","Administrative unit not available",Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,"La Trinite","Le Marin",Saint-Pierre
1950,804.45,827.83,906.20,726.08,849.07,731.95,1051.88,668.03,846.53,722.57,1002.77,754.13,641.59,629.14,904.24,937.98,706.75,829.79,808.84,760.13,842.31,724.55,864.45,2989.19,2504.29,2394.21,1220.70,1538.61,1560.31,2327.56,2258.98,2014.51,2439.70
1951,1005.21,830.35,1136.60,1021.93,963.00,920.49,1123.25,744.33,916.19,903.90,1158.38,864.40,710.78,1065.43,1103.25,957.95,1105.92,898.72,855.59,806.35,921.56,1242.56,1216.18,2992.86,2557.50,2479.81,1259.10,1282.69,1293.47,2893.98,2819.96,2552.69,3015.00
1952,897.56,858.38,1051.74,829.99,905.65,879.61,1069.04,750.14,966.72,651.56,1174.70,795.92,719.61,650.71,1020.74,1049.02,794.11,870.01,880.70,799.61,960.78,834.32,1006.55,2890.19,2370.79,2711.35,1164.80,1670.11,1670.29,2602.98,2533.06,2269.23,2717.30
1953,617.55,527.54,758.50,622.00,528.61,566.92,595.55,441.76,552.69,673.22,727.77,501.01,425.58,703.71,628.74,568.28,729.44,541.75,476.20,484.86,529.70,822.69,745.59,3151.43,2749.49,2342.72,981.30,1847.16,1861.89,2435.59,2369.17,2135.67,2544.20
1954,800.83,794.53,908.30,806.11,768.15,734.02,924.08,563.45,778.72,711.21,1030.87,696.97,546.68,744.70,863.87,876.78,795.48,757.19,679.30,655.91,736.49,926.27,1009.22,3184.11,2884.12,2700.97,1265.50,1315.31,1334.36,2471.69,2402.03,2147.64,2585.60
1955,810.63,734.94,979.63,793.80,706.73,737.71,830.68,621.87,737.64,731.21,1012.60,670.31,566.78,852.41,924.87,806.94,974.63,645.29,681.62,604.47,786.12,875.89,966.07,3090.26,2689.69,2711.38,1382.00,1922.77,1944.47,2772.43,2707.01,2459.77,2879.40
1956,784.75,742.21,877.84,820.05,667.33,783.92,821.83,579.56,775.30,738.14,1013.93,612.76,556.47,794.35,853.20,836.66,843.71,711.06,627.65,621.28,696.46,904.39,973.18,3207.73,2815.20,2648.67,1479.00,1435.91,1465.53,2856.62,2775.60,2488.79,2989.10
1957,787.19,676.53,814.01,750.96,736.80,708.27,885.88,644.78,792.52,701.58,869.15,665.31,617.53,849.77,871.95,795.26,865.84,744.50,701.41,685.40,755.53,967.15,858.33,2710.76,2031.84,2289.86,1405.30,1288.47,1298.88,2409.44,2348.07,2117.57,2509.80
1958,952.42,858.89,1083.16,959.52,922.78,939.84,1080.88,880.57,966.43,666.44,1108.29,853.96,803.07,753.22,1192.85,1012.44,878.85,839.70,937.01,801.09,1039.37,908.24,1059.51,2964.12,2452.59,2913.55,1181.00,1191.77,1198.72,2710.90,2631.95,2354.88,2840.00
1959,833.59,617.38,1196.05,804.09,685.37,645.19,904.17,581.11,611.33,903.61,852.79,595.20,488.77,1014.12,954.70,676.55,1137.07,564.08,677.66,502.39,807.04,1093.10,964.39,2852.25,2313.28,2246.84,1281.80,1529.82,1557.62,2038.99,1978.56,1759.39,2137.80
