Variable:,pr
,Portugal,Aveiro,Beja,Braga,Braganca,"Castelo Branco",Coimbra,Evora,Faro,Guarda,Leiria,Lisboa,Portalegre,Porto,Santarem,Setubal,"Viana Do Castelo","Vila Real",Viseu
1985,901.92,1235.00,557.69,1471.20,790.12,950.10,1152.39,641.99,576.44,1030.92,1021.88,863.61,748.58,1318.39,858.13,654.57,1608.41,1223.05,1242.13
1986,714.54,1009.98,442.83,1280.64,622.75,711.00,899.80,502.91,438.36,756.43,783.92,682.36,578.83,1112.21,666.32,520.81,1433.27,1020.19,976.19
1987,981.47,1288.83,719.90,1568.58,839.05,972.04,1179.16,742.88,764.19,1039.05,1048.94,964.54,810.89,1391.79,910.47,785.49,1731.14,1289.74,1276.91
1988,826.05,1110.94,568.03,1325.02,733.05,842.70,1020.58,600.37,572.03,921.60,910.42,788.38,674.42,1179.43,771.01,634.56,1453.55,1105.65,1108.08
1989,1127.64,1379.88,919.89,1588.67,935.82,1119.33,1278.97,912.42,970.98,1172.22,1232.77,1180.54,978.51,1435.14,1106.13,1001.59,1715.41,1361.44,1373.72
1990,691.71,961.28,447.78,1144.14,584.99,694.13,864.04,509.97,446.23,740.37,781.91,698.09,573.19,1012.31,673.37,537.14,1265.86,929.13,925.59
1991,675.71,951.86,444.38,1175.59,596.66,664.38,832.60,470.29,471.71,737.88,728.79,634.15,532.04,1033.35,615.12,490.60,1310.15,954.81,925.17
1992,612.17,818.57,408.87,1032.32,554.80,618.03,732.28,442.48,415.93,693.41,651.99,565.02,501.02,912.82,555.14,447.64,1140.06,853.66,831.36
1993,856.49,1223.86,534.64,1436.89,745.96,862.32,1073.44,614.96,526.07,939.92,975.64,833.65,703.15,1309.61,823.36,635.94,1573.73,1168.44,1170.08
1994,738.54,1107.20,408.03,1371.54,699.59,737.57,946.30,485.26,391.39,860.46,783.93,650.81,567.05,1208.81,653.28,485.15,1530.17,1111.05,1082.64
1995,849.71,1145.68,551.11,1466.82,791.59,840.79,1030.19,594.58,582.15,956.11,895.34,783.15,682.50,1269.93,765.15,618.66,1626.02,1226.19,1157.81
1996,1221.24,1637.55,882.29,1873.85,1020.81,1248.35,1478.53,910.90,967.22,1357.46,1344.97,1174.36,1015.65,1703.58,1153.20,951.98,2030.97,1566.18,1621.03
1997,1120.33,1510.81,751.64,1709.04,987.73,1165.91,1397.27,826.11,779.31,1258.26,1284.98,1105.01,947.72,1553.40,1088.28,849.41,1838.44,1453.18,1497.47
1998,657.82,934.67,395.71,1160.70,612.53,672.31,828.38,450.46,390.10,751.12,710.03,577.60,535.56,1035.06,594.34,439.71,1279.39,954.44,929.44
1999,817.12,1164.97,499.30,1454.08,748.06,804.34,1008.35,572.08,499.47,883.59,906.53,758.01,669.98,1284.97,757.87,571.85,1618.27,1176.68,1119.44
2000,991.18,1349.34,633.15,1710.70,938.55,995.49,1196.57,687.22,648.39,1140.67,1038.44,892.01,788.90,1493.07,883.84,705.83,1892.63,1454.04,1370.02
2001,921.41,1236.04,603.38,1546.08,811.69,950.44,1130.74,664.67,609.12,1025.89,1014.61,865.77,767.95,1347.54,866.12,673.61,1732.24,1258.63,1235.98
2002,970.30,1333.24,608.19,1682.86,910.85,1002.56,1194.43,650.04,640.14,1113.13,1047.59,866.94,764.72,1478.19,878.62,670.76,1861.06,1398.06,1347.30
2003,1005.40,1320.63,650.54,1671.43,941.27,1051.43,1219.67,705.75,666.82,1165.58,1075.62,923.89,821.06,1459.32,924.94,727.40,1834.59,1417.87,1363.69
