Variable:,pr
,Hungary,Bacs-kiskun,Baranya,Bekes,Borsod-abauj-zemplen,Budapest,Csongrad,Fejer,Gyor-moson-sopron,Hajdu-bihar,Heves,Jasz-nagykun-szolnok,Komarom-esztergom,Nograd,Pest,Somogy,Szabolcs-szatmar-bereg,Tolna,Vas,Veszprem,Zala
1980,671.01,603.85,704.42,646.03,772.99,616.27,600.25,619.93,594.30,713.86,677.67,627.15,615.41,703.36,629.75,704.29,813.30,630.75,655.82,636.37,716.62
1981,589.32,559.86,692.78,593.93,615.60,535.47,567.09,530.53,519.61,593.97,560.91,545.65,521.48,593.25,545.41,660.73,655.14,574.24,579.72,561.52,668.13
1982,550.89,490.52,597.11,509.03,550.17,485.08,490.21,522.02,586.53,531.89,500.83,477.85,537.50,527.08,487.00,628.60,582.26,523.68,709.20,598.88,707.02
1983,468.86,406.43,506.08,424.37,534.24,423.33,393.63,441.91,455.03,472.50,466.32,427.04,450.19,484.75,431.34,509.32,528.45,442.96,514.03,481.01,557.41
1984,607.18,553.51,691.30,559.04,639.28,564.30,524.04,578.51,543.03,612.83,608.89,562.06,572.59,628.70,575.33,687.03,664.67,601.55,619.58,603.57,707.09
1985,604.78,526.45,627.71,546.66,670.60,543.32,511.88,568.96,625.16,610.39,589.00,544.15,583.32,608.34,551.26,651.44,685.89,570.51,708.66,637.34,722.77
1986,488.64,447.34,589.11,439.36,461.54,439.69,433.93,470.20,488.63,452.65,432.66,414.57,467.73,471.69,440.88,606.25,497.78,488.39,581.04,514.56,656.48
1987,635.16,600.05,719.29,564.43,603.29,589.75,572.30,656.46,646.69,577.98,587.34,559.06,647.08,625.60,592.49,742.31,604.61,657.45,749.96,690.07,800.13
1988,570.34,516.60,567.68,529.59,602.90,549.90,496.22,562.41,554.31,569.21,588.41,543.31,583.56,621.15,557.98,588.04,631.94,545.37,609.72,582.43,638.46
1989,571.70,529.39,624.05,563.99,645.08,496.80,533.04,508.78,515.52,595.03,562.51,537.21,492.79,573.35,506.57,621.95,642.87,547.75,604.98,537.54,655.74
1990,523.73,461.27,542.83,474.75,574.73,490.31,444.01,489.89,540.44,512.73,523.79,472.87,498.43,553.44,491.83,557.59,561.25,496.28,646.99,541.71,631.10
1991,635.99,608.33,728.53,626.70,633.35,590.50,598.07,591.27,604.66,613.08,609.79,595.40,584.17,636.86,595.89,699.06,629.34,630.02,733.59,641.00,748.56
1992,518.64,487.18,641.43,446.43,508.77,466.59,447.62,511.79,531.54,461.76,450.02,432.25,482.31,491.58,462.51,640.90,531.14,546.64,621.04,563.96,654.08
1993,540.94,508.43,667.88,477.15,507.44,494.91,462.66,544.30,538.51,488.66,491.89,458.95,523.60,526.95,498.14,674.57,548.04,570.55,615.77,578.85,670.41
1994,563.96,492.74,639.17,473.45,576.17,543.10,454.69,563.25,590.16,502.29,533.32,469.20,570.71,586.66,534.42,683.72,570.77,558.50,685.09,623.26,740.55
1995,687.53,664.20,779.96,648.12,646.69,662.86,629.73,717.40,684.84,641.54,642.77,618.20,704.26,694.36,658.44,784.53,645.65,723.57,749.35,733.92,804.81
1996,644.48,610.68,731.84,616.90,641.55,594.55,602.37,614.12,659.24,607.24,595.14,570.31,614.41,631.67,592.67,737.82,651.36,639.59,742.58,678.39,762.99
1997,517.89,467.81,597.79,489.72,558.92,450.54,465.99,456.89,535.07,506.80,446.38,437.55,460.36,485.09,445.74,590.56,612.97,487.02,615.73,535.33,648.47
1998,693.43,649.01,776.82,650.61,701.13,672.13,605.96,695.32,620.00,671.63,680.77,645.58,660.96,720.58,673.57,781.03,724.55,712.61,725.53,695.56,806.91
1999,733.11,731.96,802.24,745.19,734.86,721.97,720.19,718.79,652.67,731.12,724.48,709.91,697.02,769.77,723.12,771.79,742.24,751.93,704.60,702.48,760.41
2000,450.46,354.69,433.88,363.11,535.60,412.22,332.99,431.92,489.47,433.50,464.04,384.52,457.55,502.25,416.55,504.17,537.77,406.35,552.45,484.98,567.41
2001,591.67,575.24,657.27,627.66,674.37,560.33,591.65,529.10,466.19,636.19,605.61,588.61,520.83,635.07,566.66,586.92,699.72,571.41,491.53,505.92,566.60
2002,597.67,532.70,661.68,539.88,655.08,573.75,522.69,554.10,587.14,568.08,617.71,544.98,577.45,658.87,573.05,686.08,622.62,572.91,638.39,600.59,695.87
2003,471.55,444.71,512.27,482.98,518.68,441.25,448.13,425.93,414.30,487.21,463.94,455.64,409.96,477.11,445.53,493.36,523.16,453.00,486.44,435.36,516.69
2004,682.67,670.11,771.93,676.17,713.59,664.01,657.96,652.41,587.40,674.34,674.93,641.40,617.87,709.67,663.80,741.60,730.11,698.30,653.87,635.64,733.93
2005,707.80,679.89,777.04,702.26,737.69,679.98,666.23,681.05,623.48,716.85,694.45,669.41,667.39,734.14,681.86,748.95,760.66,710.93,710.80,679.56,771.72
2006,590.16,566.03,607.74,599.34,602.95,560.22,566.11,590.30,546.22,610.53,591.24,569.59,587.48,613.09,567.27,591.75,640.53,587.68,590.12,577.67,614.11
2007,638.91,585.74,682.49,609.77,654.04,595.02,574.16,622.89,639.50,624.88,605.94,569.53,620.03,648.52,597.97,700.97,715.92,627.91,706.12,663.78,745.27
2008,618.54,565.38,642.71,596.46,652.46,591.33,555.87,595.74,599.03,627.50,617.81,579.68,605.73,652.87,594.68,650.23,673.05,601.41,665.57,630.08,677.75
2009,645.37,590.13,691.29,585.57,660.67,617.88,563.37,620.44,666.13,604.30,612.97,569.00,630.18,670.93,614.37,726.31,673.58,634.62,772.67,678.59,790.95
2010,886.22,845.83,917.23,863.82,985.72,888.41,828.57,854.16,782.29,913.07,956.30,871.86,848.66,994.43,894.79,874.05,964.17,866.06,822.57,846.14,848.90
2011,437.75,378.80,444.04,411.29,501.90,403.10,376.87,406.09,424.05,444.21,444.84,398.76,418.73,468.20,406.49,460.67,500.95,399.76,496.32,443.40,511.56
2012,529.31,479.14,586.76,486.73,533.78,489.36,461.85,513.12,534.50,500.35,494.94,467.17,514.09,526.60,490.36,609.05,545.24,521.13,627.57,561.05,674.86
2013,620.79,564.57,678.09,558.36,624.63,593.74,537.52,614.31,623.06,586.23,606.90,560.03,628.78,649.40,594.01,699.26,641.86,612.33,705.59,648.94,762.39
2014,748.03,700.71,896.75,688.91,697.83,702.69,674.12,745.48,719.30,688.69,682.07,659.68,730.78,715.27,700.94,914.43,696.92,781.32,858.52,808.08,939.42
2015,584.52,535.62,669.25,530.09,575.06,545.93,517.40,570.53,579.89,541.24,548.44,522.09,559.58,578.46,546.58,687.95,573.97,584.28,692.35,626.00,744.56
2016,748.76,686.60,814.90,699.11,768.69,695.69,674.64,721.38,738.03,719.81,729.49,689.76,711.61,764.42,705.51,839.98,764.20,731.95,847.07,780.49,902.64
2017,621.68,550.06,666.10,544.40,665.13,580.31,523.66,603.58,633.48,588.74,613.58,556.04,607.82,657.49,581.71,710.32,644.91,601.33,722.41,654.87,782.36
2018,602.08,543.57,681.06,548.26,584.80,553.18,527.84,598.13,606.85,565.11,559.29,528.31,593.01,583.09,557.26,720.40,608.48,598.87,700.20,658.69,761.92
2019,626.25,565.18,706.79,546.37,621.40,589.33,539.95,620.61,638.37,564.39,589.49,547.16,634.90,636.23,590.02,749.70,614.51,619.18,750.35,679.19,809.79
2020,643.65,550.15,679.88,576.72,684.10,584.93,535.22,609.45,664.55,625.92,636.26,573.76,628.26,668.77,587.85,743.99,685.12,605.87,777.33,695.79,807.19
2021,556.95,506.10,622.14,523.31,571.96,508.33,494.74,527.70,565.16,541.64,522.33,490.64,550.26,565.09,511.86,622.87,609.52,533.49,634.11,585.07,661.26
