Variable:,pr
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1948,1273.27,1200.45,1207.96,1263.71,1369.99,1484.22,1134.09,1254.51,1553.15,1072.56,1144.20,1093.92,1375.25,1265.61,1188.43,1061.81,1332.66,1054.17,1113.41,1113.41,1071.36,1199.78,1375.41,1253.42,1337.79,1105.45,1207.36,1191.51
1949,1056.33,856.96,1011.59,1100.32,1063.94,1389.95,834.56,1128.12,1292.02,785.91,839.22,827.75,1250.22,1030.69,991.55,838.90,1265.73,807.90,936.70,936.70,844.61,1061.80,1317.05,971.46,967.20,878.12,860.14,852.10
1950,1221.94,1068.24,1197.33,1213.00,1255.01,1627.36,1032.36,1228.86,1464.53,969.50,1039.93,994.54,1431.99,1180.93,1125.55,1012.44,1376.06,975.94,1105.57,1105.57,982.21,1179.16,1488.87,1143.03,1203.27,1030.17,1076.31,1062.92
1951,1207.93,1108.84,1088.54,1231.76,1368.77,1402.42,1029.56,1184.98,1572.11,958.40,1081.69,993.39,1271.35,1241.72,1042.54,951.56,1269.91,925.47,1002.53,1002.53,953.64,1103.48,1309.06,1190.96,1319.88,973.35,1122.18,1092.30
1952,934.28,877.22,897.01,935.20,948.75,1178.26,831.94,932.53,1105.74,773.32,835.66,794.29,1033.72,907.97,849.98,791.97,1033.12,766.42,837.79,837.79,772.20,887.17,1078.53,894.80,956.82,799.54,877.16,868.99
1953,940.62,840.17,837.44,973.40,1036.94,1157.21,783.44,936.26,1205.02,744.88,833.92,787.16,1023.58,962.76,813.80,707.58,1011.03,701.14,748.11,748.11,759.40,860.95,1091.07,920.76,982.15,768.57,838.32,823.19
1954,1284.84,1112.35,1267.25,1277.11,1261.66,1683.95,1132.56,1323.29,1480.49,1042.32,1076.20,1068.60,1525.64,1214.49,1250.85,1076.40,1486.41,1052.59,1139.80,1139.80,1088.91,1297.99,1586.41,1185.50,1211.57,1148.10,1116.69,1140.21
1955,998.51,959.89,974.14,973.79,1048.37,1192.35,907.63,981.70,1170.93,826.99,902.51,841.76,1125.49,971.02,929.95,878.25,1056.79,843.25,915.33,915.33,815.62,959.88,1138.98,960.57,1069.74,861.35,959.38,956.14
1956,1111.70,994.62,1056.26,1122.73,1203.35,1348.94,984.33,1105.84,1349.74,909.03,982.31,935.80,1210.55,1128.68,1002.66,915.34,1163.50,910.22,968.19,968.19,915.28,1032.02,1225.65,1102.59,1179.47,941.79,993.25,1011.12
1957,1119.65,1055.63,1099.57,1079.54,1172.79,1423.19,1027.71,1074.28,1347.84,928.93,1016.74,941.83,1254.24,1079.96,1009.34,1001.59,1190.05,948.55,1041.61,1041.61,902.62,1038.96,1273.12,1069.49,1180.56,957.34,1067.10,1060.07
1958,1298.24,1336.62,1227.94,1221.97,1429.23,1467.29,1254.56,1199.20,1553.80,1153.16,1277.15,1166.36,1355.41,1269.41,1144.72,1159.12,1278.44,1131.59,1154.11,1154.11,1083.34,1170.03,1350.63,1306.38,1496.89,1113.02,1347.15,1322.73
1959,1108.07,930.89,1035.28,1172.29,1212.64,1302.78,913.49,1132.59,1435.17,834.11,910.48,886.62,1237.96,1145.33,1015.98,860.03,1212.04,849.52,931.84,931.84,882.37,1069.73,1255.30,1074.93,1104.30,917.00,940.42,936.69
1960,1388.70,1418.13,1272.24,1380.19,1525.61,1508.92,1339.75,1318.78,1722.61,1246.43,1337.52,1260.57,1430.76,1396.20,1252.80,1154.02,1349.18,1169.96,1159.40,1159.40,1178.44,1255.78,1408.54,1406.31,1538.39,1190.90,1396.24,1412.83
1961,1110.08,948.49,1088.08,1108.85,1132.03,1447.12,912.48,1148.52,1319.53,845.22,930.25,900.56,1301.56,1068.06,1045.54,900.79,1293.10,871.10,996.30,996.30,904.41,1106.02,1353.32,1028.54,1076.22,948.35,954.71,941.68
1962,1083.37,1015.90,1066.50,1070.51,1118.44,1342.01,944.24,1070.54,1297.01,876.76,972.59,913.29,1244.91,1060.66,1029.24,885.97,1166.88,875.37,964.18,964.18,879.43,1042.36,1243.67,1044.17,1124.39,935.26,1009.93,993.21
1963,1059.12,1049.26,1026.74,1001.46,1160.68,1295.69,940.51,996.41,1309.14,858.58,990.32,891.28,1160.53,1025.61,946.06,904.94,1102.90,851.72,988.43,988.43,840.31,963.29,1181.51,1018.45,1177.46,888.14,1064.77,1016.98
1964,1122.49,1002.33,1063.29,1134.98,1240.71,1328.40,937.83,1123.84,1410.30,859.84,972.49,909.92,1239.10,1136.86,1028.71,893.28,1194.55,876.58,971.66,971.66,890.04,1080.07,1259.09,1097.73,1195.90,940.14,1008.74,976.06
