Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","98.10902","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","98.2142","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","98.22778","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","99.06243","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","99.16761","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.67994","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","100.4026","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","99.8394","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","100.725","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","100.8335","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","100.6096","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","100.9082","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","100.4908","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","100.0532","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","100.3857","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","752","Sweden","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","100.691","X","Figure from international organizations","base year is 2015"
