Variable:,tas
,Netherlands,Drenthe,Flevoland,Friesland,Gelderland,Groningen,Limburg,Noord-brabant,Noord-holland,Overijssel,Utrecht,Zeeland,Zuid-holland
1998,10.21,9.79,10.07,9.80,10.26,9.68,10.53,10.58,10.23,10.00,10.26,10.95,10.51
1999,10.86,10.46,10.74,10.48,10.93,10.37,11.16,11.22,10.87,10.67,10.90,11.61,11.14
2000,10.83,10.46,10.68,10.45,10.89,10.40,11.16,11.17,10.81,10.65,10.83,11.53,11.08
2001,10.28,9.79,10.14,9.83,10.33,9.68,10.67,10.70,10.32,10.04,10.36,11.07,10.63
2002,10.72,10.26,10.56,10.28,10.76,10.20,11.10,11.13,10.73,10.47,10.79,11.48,11.05
2003,10.55,10.06,10.39,10.08,10.60,9.94,10.99,11.00,10.58,10.30,10.64,11.36,10.91
2004,10.28,9.82,10.15,9.88,10.32,9.75,10.57,10.66,10.33,10.05,10.35,11.05,10.61
2005,10.52,10.05,10.39,10.09,10.58,9.96,10.87,10.93,10.57,10.29,10.60,11.32,10.86
2006,10.91,10.49,10.75,10.51,10.95,10.45,11.23,11.28,10.93,10.69,10.96,11.63,11.21
2007,11.04,10.62,10.90,10.65,11.08,10.59,11.34,11.40,11.05,10.82,11.08,11.75,11.33
2008,10.53,10.17,10.39,10.18,10.56,10.16,10.81,10.87,10.53,10.33,10.57,11.22,10.81
2009,10.47,10.00,10.32,10.04,10.52,9.94,10.85,10.88,10.49,10.23,10.54,11.25,10.80
2010,9.04,8.54,8.86,8.56,9.08,8.44,9.51,9.48,9.05,8.77,9.11,9.88,9.39
2011,10.88,10.38,10.72,10.41,10.93,10.27,11.34,11.31,10.91,10.63,10.97,11.71,11.23
2012,10.22,9.76,10.06,9.78,10.27,9.67,10.61,10.62,10.22,9.99,10.27,10.99,10.54
2013,9.74,9.34,9.57,9.34,9.78,9.32,10.11,10.10,9.74,9.52,9.77,10.48,10.02
2014,11.61,11.18,11.46,11.20,11.66,11.13,11.94,11.99,11.63,11.38,11.67,12.34,11.92
2015,10.86,10.41,10.70,10.43,10.91,10.35,11.28,11.26,10.88,10.62,10.93,11.61,11.18
2016,10.65,10.24,10.50,10.27,10.69,10.20,10.98,11.02,10.66,10.42,10.70,11.36,10.95
2017,10.89,10.42,10.73,10.45,10.94,10.34,11.26,11.30,10.93,10.64,10.96,11.69,11.24
2018,11.40,10.93,11.24,10.94,11.47,10.87,11.86,11.81,11.37,11.16,11.47,12.14,11.71
2019,11.24,10.82,11.09,10.83,11.29,10.78,11.59,11.62,11.23,11.01,11.30,11.97,11.54
2020,11.66,11.20,11.50,11.22,11.70,11.13,12.08,12.08,11.68,11.41,11.74,12.45,12.01
2021,10.39,9.99,10.24,10.01,10.42,9.98,10.70,10.75,10.42,10.15,10.43,11.11,10.69
