Key,T°C
Denmark2016,9.1
Denmark2017,9.0
Denmark2018,9.63
Denmark2019,9.65
Denmark2020,10.04
Denmark2021,8.92
Spain1901,12.21
Spain1902,12.42
Spain1903,12.48
Spain1904,12.86
Spain1905,12.23
Spain1906,12.49
Spain1907,12.31
Spain1908,12.59
Spain1909,12.17
Spain1910,12.26
Spain1911,12.54
Spain1912,12.33
Spain1913,12.66
Spain1914,12.39
Spain1915,12.41
Spain1916,12.47
Spain1917,11.89
Spain1918,12.29
Spain1919,12.17
Spain1920,12.57
Spain1921,12.86
Spain1922,12.39
Spain1923,12.6
Spain1924,12.81
Spain1925,12.01
Spain1926,13.35
Spain1927,12.88
Spain1928,12.9
Spain1929,12.83
Spain1930,13.01
Spain1931,12.62
Spain1932,12.29
Spain1933,12.72
Spain1934,12.62
Spain1935,12.37
Spain1936,12.33
Spain1937,13.08
Spain1938,12.6
Spain1939,12.41
Spain1940,12.59
Spain1941,12.27
Spain1942,12.87
Spain1943,13.23
Spain1944,12.6
Spain1945,13.53
Spain1946,12.73
Spain1947,13.39
Spain1948,13.46
Spain1949,13.46
Spain1950,13.15
Spain1951,12.59
Spain1952,13.08
Spain1953,13.08
Spain1954,12.69
Spain1955,13.71
Spain1956,12.12
Spain1957,12.72
Spain1958,13.19
Spain1959,13.23
Spain1960,13.01
Spain1961,13.82
Spain1962,13.01
Spain1963,12.64
Spain1964,13.27
Spain1965,12.87
Spain1966,13.22
Spain1967,12.99
Spain1968,13.19
Spain1969,12.57
Spain1970,13.06
Spain1971,12.53
Spain1972,12.21
Spain1973,12.85
Spain1974,12.75
Spain1975,12.77
Spain1976,12.8
Spain1977,12.86
Spain1978,13.01
Spain1979,13.12
Spain1980,12.87
Spain1981,13.51
Spain1982,13.5
Spain1983,13.51
Spain1984,12.74
Spain1985,13.39
Spain1986,13.23
Spain1987,13.67
Spain1988,13.46
Spain1989,14.27
Spain1990,14.06
Spain1991,13.37
Spain1992,13.34
Spain1993,12.93
Spain1994,13.98
Spain1995,14.3
Spain1996,13.49
Spain1997,14.38
Spain1998,13.9
Spain1999,13.8
Spain2000,13.85
Spain2001,13.94
Spain2002,13.91
Spain2003,14.31
Spain2004,13.83
Spain2005,13.68
Spain2006,14.42
Spain2007,13.72
Spain2008,13.66
Spain2009,14.33
Spain2010,13.62
Spain2011,14.43
Spain2012,13.93
Spain2013,13.77
Spain2014,14.57
Spain2015,14.52
Spain2016,14.36
Spain2017,14.62
Spain2018,14.23
Spain2019,14.42
Spain2020,14.65
Spain2021,14.25
Estonia1901,5.38
Estonia1902,3.0
Estonia1903,5.82
Estonia1904,4.14
Estonia1905,5.18
Estonia1906,5.75
Estonia1907,3.85
Estonia1908,4.48
Estonia1909,4.44
Estonia1910,6.1
Estonia1911,5.27
Estonia1912,4.4
Estonia1913,5.73
Estonia1914,5.82
Estonia1915,3.23
Estonia1916,4.72
Estonia1917,4.16
Estonia1918,4.93
Estonia1919,4.27
Estonia1920,6.06
Estonia1921,5.32
Estonia1922,4.2
Estonia1923,4.3
Estonia1924,5.08
Estonia1925,5.67
Estonia1926,4.48
Estonia1927,4.67
Estonia1928,4.58
Estonia1929,4.36
Estonia1930,6.25
Estonia1931,4.17
Estonia1932,5.75
Estonia1933,4.57
Estonia1934,6.97
Estonia1935,5.47
Estonia1936,6.13
Estonia1937,5.98
Estonia1938,6.69
Estonia1939,5.58
Estonia1940,3.34
Estonia1941,2.53
Estonia1942,2.78
Estonia1943,6.19
Estonia1944,5.74
Estonia1945,4.71
Estonia1946,4.92
Estonia1947,4.25
Estonia1948,5.64
Estonia1949,6.65
Estonia1950,5.14
Estonia1951,5.07
Estonia1952,4.32
Estonia1953,5.61
Estonia1954,5.02
Estonia1955,4.22
Estonia1956,3.44
Estonia1957,5.53
Estonia1958,4.27
Estonia1959,5.92
Estonia1960,4.83
Estonia1961,6.37
Estonia1962,4.51
Estonia1963,4.28
Estonia1964,5.07
Estonia1965,4.41
Estonia1966,4.06
Estonia1967,5.34
Estonia1968,4.55
Estonia1969,3.91
Estonia1970,4.37
Estonia1971,5.35
Estonia1972,5.91
Estonia1973,5.43
Estonia1974,6.27
Estonia1975,6.9
Estonia1976,3.81
Estonia1977,4.74
Estonia1978,3.93
Estonia1979,4.81
Estonia1980,4.48
Estonia1981,5.13
Estonia1982,5.56
Estonia1983,6.22
Estonia1984,5.85
Estonia1985,3.6
Estonia1986,5.0
Estonia1987,3.31
Estonia1988,5.76
Estonia1989,7.1
Estonia1990,6.67
Estonia1991,6.23
Estonia1992,6.41
Estonia1993,5.3
Estonia1994,5.48
Estonia1995,6.16
Estonia1996,4.84
Estonia1997,5.92
Estonia1998,5.46
Estonia1999,6.49
Estonia2000,7.06
Estonia2001,6.05
Estonia2002,6.21
Estonia2003,5.78
Estonia2004,5.97
Estonia2005,6.11
Estonia2006,6.57
Estonia2007,6.72
Estonia2008,7.23
Estonia2009,6.02
Estonia2010,4.93
Estonia2011,6.93
Estonia2012,5.59
Estonia2013,6.75
Estonia2014,6.94
Estonia2015,7.37
Estonia2016,6.46
Estonia2017,6.25
Estonia2018,7.03
Estonia2019,7.18
Estonia2020,8.12
Estonia2021,6.28
Finland1901,1.5
Finland1902,-1.11
Finland1903,1.65
Finland1904,0.29
Finland1905,1.26
Finland1906,1.67
Finland1907,0.78
Finland1908,0.94
Finland1909,0.91
Finland1910,1.93
Finland1911,1.58
Finland1912,0.1
Finland1913,1.5
Finland1914,1.71
Finland1915,-1.09
Finland1916,0.87
Finland1917,0.16
Finland1918,1.24
Finland1919,0.57
Finland1920,2.83
Finland1921,1.49
Finland1922,0.87
Finland1923,0.74
Finland1924,1.73
Finland1925,1.71
Finland1926,0.38
Finland1927,0.71
Finland1928,0.95
Finland1929,1.23
Finland1930,2.61
Finland1931,1.02
Finland1932,2.3
Finland1933,1.23
Finland1934,3.35
Finland1935,1.94
Finland1936,2.12
Finland1937,2.84
Finland1938,3.64
Finland1939,1.81
Finland1940,0.18
Finland1941,-0.88
Finland1942,-0.28
Finland1943,2.9
Finland1944,2.3
Finland1945,1.03
Finland1946,1.72
Finland1947,0.9
Finland1948,2.15
Finland1949,2.84
Finland1950,1.92
Finland1951,1.39
Finland1952,0.86
Finland1953,2.55
Finland1954,2.1
Finland1955,-0.37
Finland1956,-0.23
Finland1957,1.82
Finland1958,0.34
Finland1959,2.32
Finland1960,1.5
Finland1961,2.75
Finland1962,0.72
Finland1963,1.07
Finland1964,1.66
Finland1965,0.71
Finland1966,-0.4
Finland1967,1.76
Finland1968,0.27
Finland1969,0.37
Finland1970,1.03
Finland1971,0.73
Finland1972,2.58
Finland1973,1.44
Finland1974,3.06
Finland1975,2.79
Finland1976,0.16
Finland1977,0.95
Finland1978,-0.08
Finland1979,1.21
Finland1980,0.62
Finland1981,0.68
Finland1982,1.62
Finland1983,1.81
Finland1984,2.15
Finland1985,-0.66
Finland1986,0.97
Finland1987,-0.41
Finland1988,1.58
Finland1989,3.37
Finland1990,2.68
Finland1991,2.12
Finland1992,2.46
Finland1993,1.55
Finland1994,1.56
Finland1995,2.12
Finland1996,1.41
Finland1997,2.03
Finland1998,1.09
Finland1999,2.11
Finland2000,3.23
Finland2001,1.86
Finland2002,1.94
Finland2003,2.2
Finland2004,2.3
Finland2005,2.97
Finland2006,2.7
Finland2007,2.92
Finland2008,2.96
Finland2009,2.19
Finland2010,0.91
Finland2011,3.36
Finland2012,1.59
Finland2013,3.17
Finland2014,3.29
Finland2015,3.56
Finland2016,2.95
Finland2017,2.36
Finland2018,3.14
Finland2019,2.63
Finland2020,4.11
Finland2021,2.3
France1901,9.7
France1902,9.8
France1903,10.07
France1904,10.42
France1905,9.84
France1906,10.24
France1907,10.01
France1908,9.87
France1909,9.53
France1910,10.16
France1911,11.0
France1912,10.14
France1913,10.61
France1914,10.26
France1915,10.11
France1916,10.35
France1917,9.47
France1918,10.36
France1919,9.8
France1920,10.68
