key,pr_mm/yr
Estonia1940,599.23
Estonia1941,460.65
Estonia1942,591.36
Estonia1943,691.42
Estonia1944,649.38
Estonia1945,630.74
Estonia1946,552.99
Estonia1947,505.92
Estonia1948,666.51
Estonia1949,645.19
Estonia1950,668.02
Estonia1951,534.57
Estonia1952,767.18
Estonia1953,585.02
Estonia1954,699.18
Estonia1955,573.44
Estonia1956,648.93
Estonia1957,720.61
Estonia1958,551.6
Estonia1959,534.62
Estonia1960,649.45
Estonia1961,633.55
Estonia1962,737.1
Estonia1963,508.05
Estonia1964,481.3
Estonia1965,546.65
Estonia1966,688.54
Estonia1967,659.88
Estonia1968,546.36
Estonia1969,526.29
Estonia1970,605.53
Estonia1971,554.38
Estonia1972,593.59
Estonia1973,618.33
Estonia1974,617.05
Estonia1975,537.53
Estonia1976,478.39
Estonia1977,667.18
Estonia1978,758.01
Estonia1979,604.63
Estonia1980,650.69
Estonia1981,818.43
Estonia1982,578.72
Estonia1983,686.22
Estonia1984,625.45
Estonia1985,708.25
Estonia1986,691.94
Estonia1987,692.09
Estonia1988,687.27
Estonia1989,642.21
Estonia1990,812.36
Estonia1991,674.52
Estonia1992,598.2
Estonia1993,655.98
Estonia1994,626.11
Estonia1995,652.85
Estonia1996,576.89
Estonia1997,699.13
Estonia1998,739.26
Estonia1999,613.27
Estonia2000,660.23
Estonia2001,768.46
Estonia2002,528.45
Estonia2003,626.51
Estonia2004,724.14
Estonia2005,635.79
Estonia2006,552.5
Estonia2007,692.79
Estonia2008,781.37
Estonia2009,714.63
Estonia2010,749.5
Estonia2011,673.6
Estonia2012,843.93
Estonia2013,596.24
Estonia2014,635.17
Estonia2015,578.29
Estonia2016,694.77
Estonia2017,788.71
Estonia2018,548.69
Estonia2019,718.51
Estonia2020,693.45
Estonia2021,694.62
Finland1901,414.47
Finland1902,580.8
Finland1903,596.31
Finland1904,534.96
Finland1905,550.09
Finland1906,518.33
Finland1907,510.47
Finland1908,427.16
Finland1909,529.48
Finland1910,529.98
Finland1911,556.61
Finland1912,570.28
Finland1913,448.24
Finland1914,469.56
Finland1915,483.59
Finland1916,530.12
Finland1917,541.77
Finland1918,496.2
Finland1919,514.86
Finland1920,510.1
Finland1921,600.1
Finland1922,551.21
Finland1923,617.48
Finland1924,567.83
Finland1925,557.28
Finland1926,497.96
Finland1927,585.37
Finland1928,594.68
Finland1929,579.23
Finland1930,521.16
Finland1931,606.65
Finland1932,636.41
Finland1933,444.99
Finland1934,622.46
Finland1935,652.41
Finland1936,547.95
Finland1937,504.87
Finland1938,561.53
Finland1939,454.42
Finland1940,502.23
Finland1941,369.24
Finland1942,496.13
Finland1943,599.24
Finland1944,580.8
Finland1945,499.83
Finland1946,461.47
Finland1947,438.45
Finland1948,553.04
Finland1949,566.52
Finland1950,525.68
Finland1951,501.88
Finland1952,582.81
Finland1953,549.22
Finland1954,637.45
Finland1955,534.03
Finland1956,463.82
Finland1957,630.67
Finland1958,491.33
Finland1959,471.22
Finland1960,525.75
Finland1961,632.0
Finland1962,610.73
Finland1963,500.77
Finland1964,502.03
Finland1965,558.57
Finland1966,582.57
Finland1967,612.35
Finland1968,551.09
Finland1969,459.24
Finland1970,545.29
Finland1971,518.12
Finland1972,523.75
Finland1973,520.95
Finland1974,694.94
Finland1975,521.19
Finland1976,439.61
Finland1977,605.4
Finland1978,460.13
Finland1979,586.51
Finland1980,522.34
Finland1981,721.28
Finland1982,550.2
Finland1983,639.03
Finland1984,588.65
Finland1985,565.5
Finland1986,585.87
Finland1987,577.86
Finland1988,609.22
Finland1989,583.11
Finland1990,546.49
Finland1991,603.15
Finland1992,645.83
Finland1993,540.42
Finland1994,542.04
Finland1995,568.93
Finland1996,551.94
Finland1997,518.48
Finland1998,703.45
Finland1999,568.42
Finland2000,649.95
Finland2001,588.52
Finland2002,504.33
Finland2003,543.4
Finland2004,663.44
Finland2005,627.97
Finland2006,509.88
Finland2007,642.74
Finland2008,697.19
Finland2009,550.38
Finland2010,568.56
Finland2011,640.83
Finland2012,723.37
Finland2013,545.82
Finland2014,553.81
Finland2015,641.22
Finland2016,651.22
Finland2017,624.03
Finland2018,496.45
Finland2019,646.25
Finland2020,648.5
Finland2021,629.66
France1901,810.75
France1902,769.13
France1903,802.33
France1904,684.47
France1905,799.02
France1906,734.06
France1907,815.75
France1908,711.39
France1909,825.76
France1910,1065.88
France1911,759.06
France1912,846.83
France1913,864.95
France1914,908.62
France1915,907.97
France1916,929.53
France1917,841.68
France1918,775.66
France1919,869.58
France1920,778.05
France1921,522.47
France1922,909.12
France1923,884.82
France1924,793.4
France1925,835.13
France1926,860.54
France1927,933.8
France1928,868.24
France1929,696.88
France1930,1039.6
France1931,885.2
France1932,896.09
France1933,756.68
France1934,800.63
France1935,952.1
France1936,900.92
France1937,919.87
France1938,748.49
France1939,965.8
France1940,894.86
France1941,895.8
France1942,771.94
France1943,759.07
France1944,798.04
France1945,649.9
France1946,752.93
France1947,751.42
France1948,777.31
France1949,646.76
France1950,804.45
France1951,1005.21
France1952,897.56
France1953,617.55
France1954,800.83
France1955,810.63
France1956,784.75
France1957,787.19
France1958,952.42
France1959,833.59
France1960,1056.07
France1961,780.82
France1962,767.57
France1963,899.11
France1964,727.8
France1965,1001.99
France1966,952.04
France1967,732.42
France1968,925.02
France1969,853.92
France1970,821.48
France1971,791.22
France1972,863.3
France1973,714.55
France1974,894.57
France1975,824.11
France1976,756.72
France1977,1010.25
France1978,818.46
France1979,985.25
